"ID_ZALICZENIA","ID_PRZED","NR_ALBUMU","NR_WYKL","ID_SALA","OCENA","ID_TERMIN"
90,6,1329,45,9,3,6643
91,4,6172,53,2,4,8336
92,9,2031,82,13,3,1681
93,5,2747,27,4,3,9182
94,7,9851,83,9,3,3414
95,8,10610,88,10,3,411
96,10,5125,35,14,5,9426
97,5,3329,55,8,5,983
98,10,10816,14,8,2,9799
100,4,4996,51,6,3,1830
101,4,6154,88,12,3,9349
102,2,7871,74,6,2,4941
103,8,2228,66,9,5,7187
104,6,2876,62,12,2,3563
105,1,5167,17,15,4,6283
106,1,10054,93,10,2,3066
107,6,8063,90,11,3,5748
108,5,7717,30,2,5,9735
109,1,9680,91,13,3,2221
110,8,2682,88,5,4,2520
111,3,9250,27,5,3,9891
112,5,3618,17,9,3,2483
113,2,8489,81,15,4,3871
114,2,3420,3,10,5,9653
116,7,1391,51,7,4,2591
117,8,9855,80,9,3,8628
118,10,8117,59,8,2,345
119,4,6295,93,4,2,3788
120,3,1509,2,3,3,8569
121,2,1186,49,2,2,8813
122,2,6569,87,5,2,2680
123,6,3560,27,8,5,3374
124,4,3332,18,5,2,8396
125,3,4571,46,12,3,8864
126,5,5813,56,3,3,5648
127,10,5743,42,11,4,1556
128,7,8918,38,2,5,8843
129,8,9757,25,6,3,2322
130,1,1219,81,3,2,746
131,1,3490,49,1,2,215
132,3,3233,98,2,2,5669
133,1,10071,35,6,2,1905
134,6,2036,32,8,3,587
135,6,6804,46,12,4,3525
136,9,10051,59,1,2,3003
137,7,2031,27,10,4,9177
138,8,2244,3,8,5,9268
139,4,3251,17,1,2,1979
140,3,10743,83,13,2,1457
141,2,9687,18,7,3,7681
142,1,2120,93,11,2,7682
143,3,10708,28,15,2,5780
144,7,9837,98,4,2,6521
145,9,5050,18,10,5,8637
146,7,7425,64,1,5,9329
147,7,9816,46,9,4,8952
148,1,7733,47,13,4,6469
149,5,6222,11,13,2,3485
150,2,10457,41,11,4,854
151,9,5801,1,6,3,5186
152,10,7619,93,2,5,1800
153,9,7874,1,13,4,2575
154,4,8596,27,2,4,3952
155,2,2363,68,12,5,7718
156,2,5514,64,12,2,1215
157,10,7584,44,9,3,909
158,4,9039,8,3,4,5775
159,10,10254,2,13,5,3961
160,10,1732,38,6,2,2738
161,4,10202,23,14,3,9715
162,1,6467,55,8,2,3355
163,2,2729,17,3,2,3148
164,3,7767,82,13,3,6904
165,6,5488,27,2,4,1065
166,8,6177,45,1,3,826
167,10,8816,9,7,3,5725
168,9,8800,49,5,3,3286
169,4,5559,18,14,3,585
170,9,1445,33,4,5,2496
171,10,5901,43,9,3,6337
172,4,9354,45,13,5,2708
173,7,2562,61,13,3,8353
174,1,7542,97,2,4,5231
175,9,6761,71,9,3,8552
176,3,2247,13,13,4,4132
177,10,8811,66,4,5,5415
178,3,2691,15,5,2,3725
179,10,4259,67,13,5,4501
180,6,8211,20,9,4,1766
181,3,5849,47,3,4,297
182,3,8118,74,10,5,3866
183,7,1205,78,9,4,1441
184,1,4615,2,14,3,3525
185,2,10730,50,12,2,6170
186,8,9651,42,13,2,8732
187,3,9605,67,3,5,1232
188,10,9474,26,4,2,986
189,10,3609,31,9,5,6096
190,9,8600,24,11,4,2876
191,7,9088,16,13,3,7831
192,7,3793,63,2,3,5618
193,10,2824,82,9,3,1057
194,4,10974,100,14,4,8589
195,5,8640,16,14,3,1323
196,7,1926,64,6,4,3582
197,2,1845,63,9,3,60
198,8,10869,70,9,4,9607
199,10,3125,97,4,3,9261
200,4,2131,61,11,2,535
201,7,9672,56,10,2,9217
202,9,10378,98,7,5,6911
203,10,5726,99,12,2,6146
204,4,6687,32,6,2,4924
205,4,10097,48,12,3,7093
206,1,6947,77,15,2,723
207,9,6736,28,5,2,5078
208,8,10382,85,5,5,9743
209,1,3949,47,5,5,3703
210,7,8351,54,5,2,5689
211,2,4204,7,14,4,1441
212,4,2748,74,8,5,4100
213,5,2865,99,14,4,8191
214,2,3562,54,5,2,127
215,4,8364,82,11,2,1028
216,9,1984,36,8,5,5989
217,1,3884,26,1,2,2842
218,7,10694,1,12,2,5411
219,6,10037,92,11,2,2240
220,6,10412,29,2,2,5655
221,5,1799,74,8,4,6578
222,2,6657,79,4,5,8192
223,4,7077,68,8,2,9318
224,2,2138,33,7,4,1589
225,2,9462,77,7,4,2513
226,5,10260,24,14,3,6153
227,9,2756,33,11,3,6936
228,3,2464,27,11,2,6854
229,3,3079,31,10,3,2157
230,1,1425,81,10,3,2686
231,4,6278,48,4,4,5221
232,4,4555,9,14,3,2024
233,7,4369,67,14,2,6562
234,10,5698,2,13,2,1480
235,3,1894,54,1,5,6116
236,6,7830,16,2,4,2553
237,1,7878,91,6,3,7277
238,1,9696,83,4,5,1471
239,7,1946,91,4,4,8402
240,3,10386,70,2,5,442
241,3,4240,100,5,3,1871
242,9,1448,8,14,4,24
243,8,8516,13,4,2,2597
244,8,10334,18,4,2,597
245,9,6741,79,14,2,8606
246,2,1141,9,9,2,8723
247,9,5822,15,13,3,6433
248,7,4863,40,12,2,7628
249,2,1365,31,2,3,7079
250,5,3116,71,15,5,3659
251,5,1884,99,11,3,9049
252,4,10888,38,8,4,9153
253,7,5738,69,13,2,4672
254,5,6282,9,1,2,2443
255,4,3660,78,4,4,9393
256,6,9730,53,8,5,6508
257,1,1653,7,10,4,9654
258,10,9606,52,14,3,9551
1012,2,2503,62,14,4,5817
1013,9,1436,12,7,3,1272
1014,4,1308,99,9,3,7427
1015,1,2139,97,13,5,712
1016,3,6752,13,1,5,1623
1017,3,2188,71,14,4,8759
1018,7,10115,68,1,3,9872
1019,9,6322,90,5,5,5292
1020,2,9107,29,4,4,1273
1021,10,9124,71,9,2,7116
1022,7,1862,42,1,3,1987
1023,3,8641,45,8,2,8322
1024,4,9340,65,4,5,2082
1025,1,9624,4,7,3,875
1026,1,4363,81,3,4,4267
1027,4,10974,54,4,4,2647
1028,10,1103,68,10,2,9477
1029,2,3781,94,15,5,4213
1030,3,5478,40,1,3,9577
1031,3,3757,28,7,5,3938
1032,9,7181,42,8,5,6488
1033,1,6482,71,11,5,8413
1034,8,9457,37,5,2,1401
1035,8,10394,54,14,3,4946
1036,6,4205,41,8,4,6575
1037,10,10769,9,4,2,9017
1038,5,7443,87,2,4,2563
1039,6,5563,77,4,4,7205
1040,8,6402,10,3,5,4128
1041,3,2733,74,7,2,4907
1042,10,4972,31,2,5,6227
1043,9,3089,13,2,4,8193
1044,9,10154,17,4,2,5143
1046,10,5254,60,14,2,5267
1047,8,9558,32,2,3,4709
1048,10,8891,29,3,3,3444
1049,1,4206,59,5,2,7460
1050,5,5220,28,14,3,6146
1051,8,9215,6,10,2,5516
1052,9,10791,42,5,3,4449
1053,6,7515,69,15,3,8316
1054,10,4853,42,14,5,2147
1055,7,2346,76,7,5,5898
1056,1,9912,69,14,3,7245
1057,4,5591,18,12,2,5453
1058,9,7904,26,15,5,1881
1059,7,3695,50,4,3,5276
1060,5,1027,92,7,4,8004
1061,2,7023,73,12,3,4899
1062,8,1064,89,3,5,3320
1063,8,1682,38,7,4,8971
1064,3,4455,100,15,3,5430
1065,3,8700,65,12,4,9511
1066,4,10888,82,7,2,7393
1067,6,6045,51,11,5,9458
1068,9,9022,43,14,3,8825
1069,4,9598,11,9,5,1987
1070,6,6246,70,3,5,5981
1071,2,4153,83,2,2,3903
1072,3,2361,24,12,3,6181
1073,10,2656,82,14,5,6681
1074,9,7011,6,4,3,1551
1075,5,6389,66,12,4,4089
1076,6,10870,10,14,3,4902
1077,3,10297,79,14,2,960
1078,5,5896,81,13,5,3430
1079,3,3356,81,15,3,7896
1080,10,3276,45,12,2,4848
1081,5,9800,19,2,3,9861
1082,5,6089,63,1,5,8920
1083,1,9570,41,12,3,4327
1084,3,7085,88,5,3,2974
1085,8,5942,56,3,4,7950
1086,2,6228,37,5,3,5766
1087,2,2597,86,9,3,2763
1088,5,4817,90,12,4,9106
1089,3,6886,40,7,3,5552
1090,4,4913,91,4,2,1693
1091,4,5023,76,2,3,5280
1092,4,8928,90,3,5,8649
1093,5,3158,100,15,5,2483
1094,4,5105,33,15,2,2668
1095,7,2225,42,5,5,9850
1096,9,8839,71,5,2,9380
1097,3,3278,15,5,5,8260
1098,9,9298,19,1,5,3431
1099,3,6264,99,14,5,2428
1100,9,1392,61,15,4,8540
1101,9,8143,42,10,3,1340
1102,6,4937,17,9,5,9402
1103,9,1082,64,4,3,1182
1104,4,1133,63,3,4,7009
1105,6,9556,18,9,4,1665
1106,8,5717,36,11,3,157
1107,6,5704,49,8,3,7707
1108,4,2316,100,7,5,2716
1109,8,5875,82,10,2,7327
1110,8,9089,100,12,4,1981
1111,8,4012,72,5,4,4278
1112,3,7251,95,14,3,4745
1113,6,10059,51,3,3,4603
1114,5,4305,9,11,4,1271
1115,6,8587,77,6,5,5966
1117,2,4437,10,13,5,2436
1118,10,3906,75,8,5,1894
1119,8,6739,97,13,5,1705
1120,10,2793,92,15,5,4895
1121,7,6246,90,4,3,8580
1122,4,4237,95,13,5,7637
1123,8,9245,36,9,5,7025
1124,8,4279,4,10,3,2746
1125,4,4826,100,12,3,4186
1126,4,9699,68,5,4,7598
1127,8,9163,84,10,3,5702
1128,10,10925,15,7,4,3117
1129,3,2697,17,7,5,4595
1130,6,10368,23,13,4,5985
1131,7,6105,16,11,4,3607
1132,2,3652,60,8,4,2894
1133,4,2517,16,3,4,5967
1134,3,5691,63,10,3,3433
1135,6,9150,82,11,2,9726
1136,6,10560,7,1,5,2987
1137,5,7288,7,1,4,1011
1138,10,7987,50,7,5,1877
1139,3,7514,46,3,2,6912
1140,7,5676,46,10,5,2628
1141,6,2569,85,2,3,9951
1142,1,5746,27,6,3,6108
1143,6,5352,89,13,3,7540
1144,9,2864,85,3,5,8474
1145,8,4342,55,11,3,3072
1146,5,3309,42,7,3,173
1147,7,7964,92,2,3,5138
1148,6,7869,87,5,4,8440
1149,8,3145,69,2,3,7834
1150,9,6272,32,5,5,3334
1151,7,7412,67,4,3,2985
1152,5,8526,7,14,4,2901
1153,10,5318,80,11,5,6155
1154,5,2980,94,7,2,9697
1155,5,5514,31,1,5,8527
1156,5,8823,43,11,5,7454
1157,9,3194,91,15,2,1941
1158,6,10492,2,2,4,7090
1159,2,7439,28,2,4,7621
1160,6,3256,5,12,5,3385
1161,9,1181,84,15,3,7807
1162,9,1362,53,15,4,2918
1163,4,1952,20,13,5,7598
1164,6,10378,93,8,2,5155
1165,9,8159,59,11,4,600
1166,5,1229,4,2,3,7489
1167,2,10356,55,13,4,4973
1168,7,2383,81,8,5,9572
1169,4,2701,23,7,4,4565
1170,5,3117,30,1,2,3868
1171,9,6554,70,11,2,4694
1172,5,6453,98,15,5,8881
1173,7,4811,57,4,4,1166
1174,6,7403,32,14,2,3600
1175,3,10589,21,6,3,867
1176,3,2898,13,12,3,9604
1177,8,10330,11,5,4,3627
1178,5,10076,59,9,4,1196
1179,5,2083,93,7,3,7869
1180,9,1352,36,15,2,6843
1181,9,2914,3,14,4,1665
1182,6,10094,17,1,2,9067
1183,9,7112,59,4,3,9903
1184,2,6320,47,13,2,7153
1185,6,3351,15,7,5,8826
1186,9,4312,24,13,3,8823
1187,7,10438,31,7,4,9654
1188,9,6545,84,11,2,550
1189,6,1911,51,9,5,4709
1190,1,6828,51,5,4,2861
1191,4,10014,3,14,2,4741
1192,2,4585,27,6,2,1134
1193,4,2841,42,11,3,9109
1194,10,7383,83,12,3,7600
1195,5,1935,66,3,5,4136
1196,2,7745,55,9,5,201
1197,5,6766,90,4,3,5457
1198,9,10014,32,4,3,8999
1199,9,5981,38,10,5,5774
1200,4,1437,80,13,2,8000
1201,10,2546,51,5,3,771
1202,3,10466,66,13,4,9692
1203,5,3801,67,14,2,8875
1204,7,10648,47,10,2,5386
1205,9,7562,25,7,5,5408
1206,3,6475,37,12,2,8492
1207,7,7406,70,9,4,5031
1208,5,6746,42,13,4,1086
1209,8,10390,60,10,4,8838
1210,9,7839,26,9,5,969
1211,8,2880,4,4,2,3807
1212,9,3444,62,14,3,9854
1213,7,7871,74,7,3,6728
1214,10,5707,60,1,3,790
1215,5,5678,85,9,3,5308
1216,9,5616,92,12,4,7210
1217,9,7609,5,7,2,5912
1218,6,3223,49,2,4,9612
1219,1,9824,45,4,2,5428
1220,7,7941,25,3,4,1904
1221,6,1841,95,7,2,9638
1223,7,1288,75,5,5,163
1224,2,4912,94,2,3,8926
1225,4,5326,9,10,5,8809
1226,10,5024,68,13,2,5485
1227,4,7123,50,5,2,3980
1228,4,2042,98,3,5,3619
1229,5,6146,36,12,2,2094
1230,7,8719,47,3,5,9857
1231,3,8520,75,13,4,6082
1232,10,3848,15,10,4,9748
1233,10,5640,12,4,2,4343
1234,5,5331,5,3,5,5096
1235,9,6438,58,11,4,6424
1236,9,2788,93,11,4,288
1237,5,1974,17,13,2,9233
1238,7,10947,33,12,5,2498
1239,2,10409,74,6,3,8494
1240,4,9207,100,4,2,1518
1241,4,5212,1,15,3,500
1242,10,1478,57,3,3,8430
1243,6,6564,97,11,2,6277
1244,3,8994,82,9,4,7110
1245,6,5137,93,15,2,6874
1246,9,2168,83,15,5,2964
1247,5,8567,49,3,4,6369
1248,4,3774,82,15,4,8878
1249,9,10235,96,6,4,9930
1250,5,3329,37,6,2,6015
1251,5,9449,70,3,5,1850
1252,1,9922,64,4,3,5896
1253,9,2247,15,14,3,3592
1254,7,9492,15,12,5,2513
1255,8,1181,74,3,5,9404
1256,1,7788,31,4,4,3466
1257,1,8971,55,8,5,742
1258,3,9501,12,6,3,2182
1259,7,9183,76,13,5,9986
1260,8,4501,98,13,3,667
1261,6,9098,3,15,2,1751
1262,5,4656,21,1,3,9576
259,9,1720,23,13,4,6279
260,9,2131,55,5,3,5907
261,1,2422,7,11,3,6787
262,7,8068,60,13,2,412
263,1,7153,85,5,3,8614
264,4,9897,51,14,5,2800
265,9,5667,6,5,3,9587
266,8,3343,78,1,3,6819
267,8,10644,50,1,5,5605
268,5,10158,53,2,5,3965
269,1,6959,14,11,2,5757
270,3,6204,72,14,2,2718
271,3,4983,44,3,2,7629
272,2,8693,80,9,5,4389
273,4,4467,76,14,2,4552
274,1,1916,65,8,5,2142
275,9,5435,48,1,4,2407
276,9,10650,58,11,2,4746
277,3,9782,55,11,5,7172
278,3,3609,43,11,5,7719
279,6,10858,87,7,2,1315
280,6,1828,16,14,5,9618
281,6,3512,72,11,2,2517
282,2,7846,15,1,5,3303
283,1,8089,29,7,5,288
284,4,10197,4,7,4,9638
285,7,8625,92,9,2,494
286,2,7618,2,3,4,8766
287,8,10278,90,13,4,9421
288,9,8295,90,1,2,1596
289,10,8245,62,15,5,3258
290,7,2548,79,14,5,8913
291,10,9866,24,6,3,8448
292,7,9519,84,5,4,8510
293,10,10818,71,11,5,5026
294,10,1615,30,3,4,9870
295,3,1110,75,4,3,8118
296,1,3661,66,11,2,8997
297,10,4814,77,9,2,1733
298,1,3966,20,11,4,8248
299,1,6520,48,8,4,4654
300,1,2696,43,13,5,7024
301,2,8092,97,13,4,4100
302,7,4904,53,4,4,7401
303,4,6150,96,4,3,5511
304,10,10260,3,12,2,2262
305,4,2743,13,15,4,4127
306,3,6604,33,1,2,8730
307,6,6096,6,12,2,9796
308,3,10239,63,2,4,8459
309,10,7284,75,3,2,7030
310,9,7779,76,1,5,7809
311,1,1857,69,15,4,4409
312,6,9950,5,14,5,5947
313,10,9683,97,13,3,8668
314,9,6180,43,1,2,9957
315,5,10365,100,6,4,7713
316,3,8308,27,2,2,9171
317,9,1261,31,4,5,3123
318,7,2122,50,15,3,835
319,10,5027,1,12,3,1334
320,5,6554,15,4,4,2710
321,4,10533,21,11,5,6474
322,7,8654,8,13,4,4182
323,7,5563,35,11,2,1299
324,10,6165,14,9,3,1480
325,6,5306,31,6,4,2338
326,1,6290,14,12,4,8472
327,4,1527,48,2,3,4662
328,7,4422,42,5,5,2590
329,3,1810,88,1,4,4822
330,3,8354,57,5,3,6594
331,3,2756,81,2,2,4129
332,5,10036,38,5,2,2875
333,4,8878,32,12,2,6007
334,6,5651,40,13,5,6789
335,5,9992,69,10,5,8039
336,10,5970,95,8,2,3302
337,9,7260,82,12,5,1565
338,8,4199,32,14,5,5619
339,10,9908,50,9,5,6162
340,5,8782,18,8,3,4046
341,4,6974,48,15,2,2518
342,7,3814,17,1,3,7411
343,4,6179,9,15,4,143
344,1,5358,28,3,2,9181
345,6,2839,82,8,5,6444
346,8,5173,22,15,4,4185
347,3,7672,22,10,3,7861
348,9,6116,14,9,3,6424
349,3,3645,11,11,4,4287
350,5,8657,61,13,5,6072
351,9,10930,61,15,4,7153
352,5,5706,34,8,5,7906
353,2,8998,37,10,4,5096
354,2,6547,77,3,2,5061
355,2,4682,48,9,5,2530
356,4,5509,25,11,2,2019
357,2,10206,72,12,3,3769
358,4,1820,54,12,3,50
359,5,3058,12,6,4,887
360,10,10724,71,6,2,4986
361,10,5502,47,9,4,7174
362,9,9145,50,11,5,5196
363,1,1622,63,11,5,9379
364,10,4465,19,10,4,726
365,3,10757,92,8,3,9346
366,10,4863,79,12,3,1546
367,6,3549,17,15,4,3906
368,3,4445,84,8,2,7549
369,5,6785,84,8,4,7116
370,8,2958,35,5,3,1322
371,6,1655,49,12,5,608
372,4,2502,10,7,5,1812
373,1,3701,40,5,5,9611
374,9,3520,20,12,4,5533
375,1,10703,31,14,5,2257
376,10,1876,44,3,2,3984
377,10,3139,7,14,4,3021
378,3,1242,53,2,5,5252
379,9,2905,69,10,5,1463
380,6,4854,32,10,4,1889
381,4,3842,10,3,2,8730
382,2,9560,91,15,2,5068
383,7,7956,100,9,4,4711
384,6,1368,14,5,2,6439
385,10,6488,20,15,4,9763
386,2,7156,85,9,4,3416
387,6,5928,63,8,4,102
388,1,9934,69,6,3,9480
389,4,8272,52,10,3,7993
390,5,5374,86,12,2,1314
391,8,10407,61,14,3,2110
392,9,1593,17,3,4,7832
393,7,3522,31,12,5,8393
394,1,9011,94,14,3,426
395,5,1102,40,11,2,671
396,3,8063,36,10,5,8754
397,9,2449,11,10,5,7522
398,9,10745,81,12,4,7398
399,9,1060,27,15,2,3308
400,1,3974,87,14,5,1096
401,1,2070,45,8,3,2452
402,7,3808,88,6,2,445
403,4,6936,41,4,5,7141
404,9,4025,67,9,3,8585
405,9,8809,93,5,2,3564
407,5,1526,72,11,3,3623
408,3,3407,60,6,5,7847
409,4,1640,17,7,4,5554
410,10,4674,2,3,2,4251
411,6,3329,19,6,3,6388
412,10,2761,78,9,3,8217
413,4,4108,58,7,4,5019
414,4,8559,73,11,3,2425
415,1,1225,33,4,4,5301
416,8,7235,35,5,5,5017
417,3,1498,99,1,4,8027
418,5,4912,76,7,2,6092
419,4,6260,93,8,2,3601
420,3,2497,15,11,4,6989
421,6,3566,17,8,4,2278
422,2,5352,88,7,5,6667
423,9,1655,16,9,2,4484
424,6,5251,85,5,5,5815
425,7,6911,14,11,2,8275
426,8,8802,97,3,5,5816
427,6,4366,7,9,2,2883
428,1,3008,7,14,5,1770
429,3,3361,83,10,4,2305
430,2,5668,10,13,4,2751
431,9,7694,19,1,2,7116
432,3,3452,27,10,5,5945
433,7,8045,19,15,5,6893
434,2,8014,65,9,2,6434
435,8,3800,7,6,3,9634
436,7,3141,13,4,3,8762
437,4,4889,33,5,4,646
438,8,7083,65,9,5,5775
439,8,6327,90,13,2,8575
440,10,5344,74,1,4,8571
441,7,5717,66,8,3,7348
442,3,6814,58,9,4,3400
443,2,7200,47,1,5,7856
444,9,10783,53,3,4,4638
445,5,6171,70,10,4,374
446,2,5957,81,13,4,3290
447,7,8496,12,7,2,4935
448,1,4253,89,11,2,7592
449,5,10348,71,4,5,6840
450,5,1880,54,4,5,7606
451,4,9808,40,7,3,4379
452,8,3086,57,9,4,4506
453,1,7272,82,14,3,6249
454,7,8921,29,2,2,9118
455,4,4258,46,7,5,9345
456,5,10514,9,4,5,1415
457,2,9173,62,14,3,5551
458,4,7411,95,14,4,4953
459,5,9203,36,10,5,4074
460,2,1842,31,8,3,7658
461,1,4261,59,1,5,1242
462,6,10510,98,9,4,4636
463,4,8778,29,3,5,2803
464,4,8832,35,12,3,807
465,9,7988,56,10,4,8761
466,4,10344,21,9,2,1031
467,1,8119,100,10,5,8787
468,2,10250,32,13,4,4135
469,2,6038,62,8,5,4485
470,4,10940,86,15,5,5978
471,3,2243,99,6,2,7186
472,3,6886,9,7,4,3696
473,10,6348,8,4,4,9197
474,2,3694,46,2,4,2031
475,7,8725,45,15,4,2174
476,2,5654,25,12,2,2828
477,9,8238,26,7,3,9096
478,10,7435,89,1,4,1834
479,5,3849,73,8,2,7536
480,1,3395,77,5,3,9757
481,9,7696,90,7,4,5416
482,7,6315,36,7,5,5846
483,3,4169,98,15,3,4035
484,3,6436,45,4,3,4403
485,9,1455,75,14,5,1320
486,5,9394,42,8,3,1135
487,9,9255,49,3,5,7991
488,5,4631,51,8,5,5341
489,8,3540,37,1,2,5998
490,6,9993,64,14,5,2152
491,9,3792,27,13,3,4966
492,3,9606,16,5,5,6342
493,1,7103,19,6,5,8111
494,3,9800,13,7,2,3956
495,6,2649,21,12,2,7565
496,2,9538,1,11,4,7000
497,8,9436,98,13,5,3984
498,9,4910,72,4,3,4141
499,3,8932,95,12,4,476
500,3,5305,56,1,3,7305
501,4,4432,3,15,3,687
502,6,1589,22,5,5,407
503,6,3706,41,13,5,6804
504,6,2514,74,12,3,2948
505,1,3594,66,3,4,1085
506,4,1393,45,2,3,8274
507,7,7457,34,5,2,9820
508,1,2830,67,14,2,4220
509,2,1157,82,8,4,1367
510,8,4704,92,13,5,5400
511,3,5110,48,14,4,653
512,5,3016,49,6,2,3562
513,1,9716,98,14,2,3763
514,3,2139,92,12,2,5549
515,6,8450,34,12,2,595
516,2,8356,10,1,4,64
517,8,5747,80,1,5,3153
518,6,6402,97,11,3,594
519,9,3688,87,6,5,488
520,4,9202,70,3,4,7328
521,1,3035,13,1,5,5656
522,3,1538,60,14,4,3549
523,6,6195,100,10,3,7214
524,2,3227,18,12,3,6507
525,2,3869,7,11,2,9042
526,10,2353,44,10,4,2735
527,1,10763,51,15,2,8717
528,2,6737,80,10,3,6878
529,4,3700,52,4,4,3478
530,5,8271,26,2,4,2494
531,8,5648,91,15,3,6676
532,7,10370,46,1,4,5472
533,8,2406,56,15,5,5550
534,9,10101,49,8,5,4666
535,9,1196,38,1,3,5544
536,10,8836,75,1,3,1124
537,2,8418,44,7,4,9572
538,6,7848,82,6,3,8999
539,3,10483,12,15,3,5800
540,1,2344,90,14,2,1402
541,5,4545,66,11,4,4037
542,2,2486,54,1,3,5362
543,9,8533,94,13,4,7865
544,8,6154,99,13,4,4785
545,9,1848,82,8,5,7912
546,9,3910,28,15,2,9541
547,8,5033,72,2,5,6209
548,10,8270,16,6,5,2761
549,8,10228,9,14,3,8721
550,4,1578,52,15,3,5020
551,4,2978,99,1,2,3324
552,10,6195,81,2,2,2109
553,3,4971,1,15,5,2885
554,4,3135,7,1,3,657
555,3,8301,80,1,3,7358
556,4,9938,86,2,5,610
557,10,9039,19,9,4,4261
558,4,8234,41,7,3,1223
559,7,8719,8,13,5,6025
560,3,3342,28,2,4,5261
561,1,10893,70,1,2,5723
562,10,8987,23,15,5,6065
563,4,3322,86,7,5,932
564,8,10388,96,14,3,5143
565,6,3560,30,1,3,6223
566,10,9373,3,9,4,5154
567,6,7255,57,14,2,7777
568,1,3291,53,4,3,4996
569,6,5394,22,13,2,7134
570,9,3683,79,9,2,4375
571,5,10940,48,7,2,9282
572,4,2612,62,10,2,9889
573,4,2066,70,9,2,7052
574,2,2746,55,4,2,487
575,10,2518,73,12,4,3708
576,4,7946,81,1,5,3803
577,1,6509,82,12,2,4503
579,4,1199,7,5,4,450
580,9,3617,75,4,2,1045
581,5,10289,30,15,5,9560
582,4,6906,2,8,2,3077
583,10,7879,5,5,3,5347
584,5,5689,10,9,4,1000
585,7,1891,49,2,2,5537
586,1,5615,54,11,3,9588
587,1,8909,5,14,3,5376
588,1,3082,86,9,3,7650
589,7,3095,15,8,5,8166
590,9,6755,30,1,4,8029
591,5,1846,98,15,2,4461
592,6,2344,90,12,5,7072
593,3,8566,4,9,5,8603
594,7,8900,59,5,3,6515
595,6,6275,63,4,5,7406
596,5,9328,12,8,2,4619
597,7,3960,11,9,3,716
598,9,10700,40,11,2,1555
599,1,8014,22,6,4,8413
600,5,3768,77,4,3,3824
601,7,8235,56,6,4,6656
602,3,8545,67,10,4,3353
603,7,8380,43,6,2,9994
604,5,4465,75,5,4,3488
605,9,1144,23,13,4,7133
606,7,2687,59,6,2,156
607,10,4123,15,4,4,4774
608,3,5575,17,11,4,9982
609,9,9011,22,4,4,1544
610,4,7310,32,3,3,4386
611,4,7315,6,4,5,9304
612,5,4222,63,14,2,1577
613,10,7690,4,5,2,4871
614,8,3041,43,14,4,2753
