"ID_TERMIN","TERMIN","DATA"
1540,"2",07/05/20
1541,"1",13/11/16
1542,"1",12/09/02
1543,"3",08/09/18
1544,"0",10/05/07
1545,"1",06/04/25
1546,"2",08/01/06
1547,"1",08/05/19
1548,"2",13/09/21
1549,"3",08/12/22
1550,"3",14/03/20
1551,"3",09/03/13
1552,"1",08/05/20
1553,"2",07/09/07
1554,"1",07/08/10
1555,"2",10/03/26
1556,"2",14/09/17
1557,"3",12/06/04
1558,"0",13/11/17
1559,"1",14/07/01
1560,"3",06/03/26
1561,"3",12/09/19
1562,"0",07/06/07
1563,"3",13/09/10
1564,"0",13/10/25
1565,"0",14/09/25
1566,"3",07/01/27
1567,"2",14/04/13
1568,"3",13/07/10
1569,"3",14/04/01
1570,"1",08/12/20
1571,"2",11/12/25
1572,"2",12/04/22
1573,"0",06/01/05
1574,"3",06/12/03
1575,"3",14/12/22
1576,"3",15/07/08
1577,"3",12/10/10
1578,"3",14/02/25
1579,"3",11/10/13
1580,"0",07/05/11
1581,"2",09/03/24
1582,"0",11/01/22
1583,"3",13/10/22
1584,"2",12/12/15
1585,"1",14/07/22
1586,"0",14/11/09
1587,"0",10/09/25
1588,"1",08/12/19
1589,"0",14/09/02
1590,"1",10/03/19
1591,"0",11/10/11
1592,"2",10/09/24
1593,"3",15/11/22
1594,"2",06/03/06
1595,"1",12/03/25
1596,"0",15/07/13
1597,"3",13/04/01
1598,"0",09/11/16
1599,"1",15/12/03
1600,"1",09/12/19
1601,"1",08/06/16
1602,"3",14/11/03
1603,"1",10/02/25
1604,"0",10/11/11
1605,"0",11/08/08
1606,"1",12/08/24
1607,"2",14/12/15
1608,"0",06/01/13
1609,"3",12/01/13
1610,"0",08/11/13
1611,"1",06/12/14
1612,"0",15/11/11
1613,"0",06/05/26
1614,"1",11/03/12
1615,"2",12/06/18
1616,"0",12/05/23
1617,"2",14/10/09
1618,"1",14/02/19
1619,"3",08/03/17
1620,"1",15/07/12
1621,"3",12/03/06
1622,"1",15/08/26
1623,"1",14/03/12
1624,"1",07/03/27
1625,"0",06/02/16
1626,"3",09/01/08
1627,"1",09/06/15
1628,"0",10/09/18
1629,"0",14/03/12
1630,"3",06/01/24
1631,"3",12/09/07
1632,"0",06/04/11
1633,"1",09/05/12
1634,"2",13/07/12
1635,"0",10/12/14
1636,"0",12/02/02
1637,"2",15/11/22
1638,"2",08/05/10
1639,"3",10/09/15
1640,"1",14/08/16
1641,"1",14/04/01
1642,"0",12/12/22
1643,"3",11/03/26
1644,"1",09/04/03
1645,"2",09/12/14
1646,"3",13/02/17
1647,"0",15/11/15
1648,"3",09/02/12
1649,"0",10/01/06
1650,"3",06/06/13
1651,"1",07/06/24
1652,"0",07/07/15
1653,"0",15/11/09
1654,"1",13/04/05
1655,"3",08/07/26
1656,"0",14/10/17
1657,"2",14/09/15
1658,"3",07/11/26
1659,"1",07/08/15
1660,"0",11/06/10
1661,"1",14/02/17
1662,"0",06/12/15
1663,"1",07/02/11
1664,"1",06/01/02
1665,"3",13/01/21
1666,"0",06/03/19
1667,"3",12/07/12
1668,"3",09/06/22
1669,"2",09/02/27
1670,"0",07/02/26
1671,"3",10/02/27
1672,"0",07/07/08
1673,"2",15/07/12
1674,"3",15/07/18
1675,"3",11/06/21
1676,"2",09/03/10
1677,"3",15/12/10
1678,"3",06/05/03
1679,"3",13/08/16
1680,"2",09/11/13
1681,"0",15/01/04
1682,"0",10/10/12
1683,"3",11/05/13
1684,"0",09/12/17
1685,"0",15/06/13
1686,"1",11/06/16
1687,"2",13/01/17
1688,"3",12/09/15
1689,"2",14/09/12
1690,"3",07/09/01
1691,"2",11/04/20
1692,"0",08/09/13
1693,"0",07/10/01
1694,"0",14/12/16
1695,"2",09/11/03
1696,"1",12/03/22
1697,"0",10/05/02
1698,"3",10/03/10
1699,"0",11/07/11
1700,"2",06/07/23
1701,"2",12/02/07
1702,"0",07/04/04
1703,"0",13/11/19
1704,"2",10/10/25
1705,"0",11/11/06
1706,"1",14/01/03
1707,"1",14/02/19
1708,"0",06/01/06
1709,"3",07/04/03
1710,"3",13/01/08
1711,"0",11/06/22
1712,"0",12/01/23
1713,"0",14/05/26
1714,"3",09/11/15
1715,"0",07/09/07
1716,"2",13/12/25
1717,"0",11/03/19
1718,"2",06/12/02
1719,"1",10/10/13
1720,"3",10/01/14
1721,"1",11/02/18
1722,"3",11/04/17
1723,"2",14/12/23
1724,"3",08/08/13
1725,"1",13/02/05
1726,"0",10/08/26
1727,"3",10/01/03
1728,"1",08/09/15
1729,"0",07/05/01
1730,"1",12/12/09
1731,"0",15/11/17
1732,"2",10/04/18
1733,"3",11/07/11
1734,"1",15/10/26
1735,"3",13/09/08
1736,"3",09/03/12
1737,"1",11/04/03
1738,"1",12/09/03
1739,"1",07/10/09
1740,"0",13/05/10
1741,"2",08/05/20
1742,"1",11/09/13
1743,"1",12/08/04
1744,"2",07/07/03
1745,"0",14/10/22
1746,"1",11/04/02
1747,"2",08/05/08
1748,"0",12/06/08
1749,"2",09/11/26
1750,"2",07/02/14
1751,"1",11/01/10
1752,"1",11/02/05
1753,"2",14/10/25
1754,"2",09/11/10
1755,"2",12/12/17
1756,"2",11/03/17
1757,"1",09/03/08
1758,"2",07/05/02
1759,"3",11/03/02
1760,"1",08/03/24
1761,"2",10/06/21
1762,"3",09/10/11
1763,"1",13/11/08
1764,"0",06/06/27
1765,"3",07/12/02
1766,"0",12/08/06
1767,"2",08/12/04
1768,"1",15/03/19
1769,"2",14/05/25
1770,"0",15/04/05
1771,"0",14/02/08
1772,"0",15/08/27
1773,"0",08/06/26
1774,"2",13/10/21
1775,"0",13/03/11
1776,"3",13/10/26
1777,"0",06/03/18
1778,"3",09/06/20
1779,"1",09/06/15
1780,"1",07/12/10
1781,"2",08/01/02
1782,"2",11/01/13
1783,"3",13/03/25
1784,"3",08/07/12
1785,"2",08/08/08
1786,"1",12/07/13
1787,"0",13/01/03
1788,"1",14/03/16
1789,"2",08/08/24
1790,"3",15/06/21
1791,"2",12/06/18
1792,"2",15/02/15
1793,"1",11/04/15
1794,"3",06/08/16
1795,"2",15/04/02
1796,"3",15/04/24
1797,"2",09/09/21
1798,"1",15/08/06
1799,"0",09/07/15
1800,"1",14/08/26
1801,"1",09/02/14
1802,"0",08/04/05
1803,"2",08/11/26
1804,"0",07/05/23
1805,"2",11/07/16
1806,"3",08/11/05
1807,"2",06/02/23
1808,"2",09/05/04
1809,"3",08/08/05
1810,"1",10/04/08
1811,"2",08/07/08
1812,"1",09/02/09
1813,"0",14/06/24
1814,"2",12/04/21
1815,"1",11/07/01
1816,"0",10/12/22
1817,"2",07/09/07
1818,"3",10/08/11
1819,"2",10/06/19
1820,"1",10/12/13
1821,"2",15/02/04
1822,"1",08/07/16
1823,"3",08/10/10
1824,"3",10/10/09
1825,"3",07/05/20
1826,"2",14/11/07
1827,"0",14/10/14
1828,"1",10/06/07
1829,"1",08/03/18
1830,"3",14/03/09
1831,"2",13/03/24
1832,"1",15/02/15
1833,"3",10/05/22
1834,"0",15/09/27
1835,"0",12/09/10
1836,"2",10/05/03
1837,"3",12/05/07
1838,"2",11/05/03
1839,"2",11/01/10
1840,"3",15/09/06
1841,"1",12/11/06
1842,"1",13/03/08
1843,"0",09/08/16
1844,"2",14/01/19
1845,"1",12/09/12
1846,"0",12/08/19
1847,"3",10/10/05
1848,"3",08/02/01
1849,"1",07/12/15
1850,"1",13/09/19
1851,"0",08/08/06
1852,"0",10/01/16
1853,"0",13/05/15
1854,"3",15/09/03
1855,"1",13/02/25
1856,"0",14/06/24
1857,"0",08/12/10
1858,"3",14/06/16
1859,"3",15/12/18
1860,"0",15/05/11
1861,"1",07/02/17
1862,"2",14/11/09
1863,"0",09/11/24
1864,"0",10/12/01
1865,"2",06/07/03
1866,"3",15/02/07
1867,"2",13/07/03
1868,"1",07/11/27
1869,"2",09/04/17
1870,"0",13/11/17
1871,"1",07/10/08
1872,"2",12/09/05
1873,"1",07/09/26
1874,"3",08/06/27
1875,"2",07/07/19
1876,"1",11/12/24
1877,"2",06/11/24
1878,"0",12/05/27
1879,"3",12/11/03
1880,"3",09/12/25
1881,"0",07/03/04
1882,"3",12/02/07
1883,"0",14/06/17
1884,"2",08/10/23
1885,"3",13/12/18
1886,"0",14/08/12
1887,"3",14/06/14
1888,"2",08/06/19
1889,"0",09/07/08
1890,"3",09/01/09
1891,"2",09/06/02
1892,"2",10/09/21
1893,"3",09/05/06
1894,"3",15/08/21
1895,"2",12/03/01
1896,"2",12/11/15
1897,"2",15/06/08
1898,"1",09/04/17
1899,"2",13/06/24
1900,"0",15/12/24
1901,"0",08/11/02
1902,"2",09/10/01
1903,"3",11/10/27
1904,"3",08/02/18
1905,"0",10/09/12
1906,"0",10/10/16
1907,"3",08/01/17
1908,"1",06/08/01
1909,"1",11/07/19
1910,"0",12/10/24
1911,"0",11/04/15
1912,"1",10/11/11
1913,"3",09/06/08
1914,"3",08/12/27
1915,"0",11/01/12
771,"3",12/01/10
772,"0",13/08/06
773,"2",11/06/11
774,"2",06/07/27
775,"0",14/10/23
776,"2",10/07/18
777,"3",13/01/02
778,"1",13/02/08
779,"1",15/09/06
780,"1",15/01/18
781,"0",15/04/10
782,"1",15/07/07
783,"2",14/01/17
784,"0",15/08/27
785,"0",08/11/22
786,"0",15/10/08
787,"1",09/04/01
788,"1",12/07/07
789,"3",10/07/13
790,"3",07/12/20
791,"2",14/10/23
792,"0",14/03/26
793,"0",14/08/22
794,"2",06/01/15
795,"2",09/03/13
796,"0",10/05/19
797,"0",07/03/19
798,"3",10/07/16
799,"2",15/01/10
800,"3",15/05/05
801,"3",13/04/10
802,"2",14/12/09
803,"3",11/07/22
804,"1",10/03/11
805,"3",14/04/07
806,"1",10/03/14
807,"2",14/10/20
808,"1",07/05/13
809,"0",08/11/01
810,"0",06/03/03
811,"3",09/06/17
812,"3",12/02/17
813,"1",06/06/19
814,"3",06/01/04
815,"1",10/05/23
816,"1",08/03/19
817,"2",09/09/22
818,"0",08/01/22
819,"3",07/02/13
820,"2",12/06/14
821,"3",14/01/15
822,"0",12/04/02
823,"3",09/06/06
824,"2",08/01/04
825,"3",09/10/22
826,"3",14/02/22
827,"0",11/01/13
828,"0",08/06/25
829,"2",06/05/04
830,"2",08/01/01
831,"2",08/05/21
832,"2",14/01/11
833,"1",10/10/01
834,"3",14/03/05
835,"0",08/05/21
836,"3",08/02/08
837,"3",09/02/21
838,"1",06/11/25
839,"2",12/10/11
840,"1",07/03/19
841,"3",14/01/16
842,"3",14/08/08
843,"1",06/08/14
844,"3",11/03/04
845,"1",13/12/12
846,"2",14/03/23
847,"0",09/09/26
848,"2",13/12/23
849,"0",07/08/18
850,"2",13/12/24
851,"3",08/12/25
852,"1",09/05/21
853,"1",06/04/01
854,"1",09/04/20
855,"3",08/02/08
856,"0",11/07/21
857,"2",13/05/04
858,"0",14/08/03
859,"0",13/08/07
860,"0",07/03/20
861,"1",08/08/20
862,"2",11/11/10
863,"2",07/09/09
864,"2",15/05/06
865,"2",12/01/14
866,"1",11/07/09
867,"1",08/07/13
868,"3",14/02/01
869,"1",11/01/08
870,"1",10/04/11
871,"2",09/10/02
872,"2",15/02/15
873,"3",15/08/22
874,"1",15/06/10
875,"2",10/03/17
876,"2",09/01/12
877,"2",10/11/03
878,"2",10/06/25
879,"1",12/02/14
880,"2",14/09/18
881,"2",15/11/03
882,"1",11/04/23
883,"1",07/03/04
884,"0",15/09/24
885,"3",15/07/02
886,"0",13/01/21
887,"3",10/11/21
888,"3",14/06/04
889,"2",06/04/11
890,"3",11/02/11
891,"1",06/06/13
892,"3",08/09/01
893,"0",07/07/15
894,"2",13/02/05
895,"2",12/06/04
896,"0",08/10/12
897,"3",08/08/13
898,"0",12/11/22
899,"3",08/06/22
900,"3",13/02/08
901,"0",11/05/03
902,"1",13/09/10
903,"0",06/07/19
904,"0",09/09/27
905,"0",08/12/09
906,"2",11/04/05
907,"0",12/10/02
908,"0",06/11/12
909,"0",06/11/04
910,"0",13/01/24
911,"2",15/07/02
912,"2",11/06/15
913,"3",06/10/16
914,"1",08/08/25
915,"2",07/02/18
916,"2",08/09/07
917,"1",15/07/07
918,"3",09/11/15
919,"0",13/08/01
920,"1",12/09/06
921,"3",11/12/08
922,"3",07/12/14
923,"1",13/02/02
924,"0",11/08/01
925,"3",10/03/21
926,"3",13/02/06
927,"3",14/11/27
928,"0",09/12/08
929,"0",12/12/02
930,"3",12/12/24
931,"3",09/02/10
932,"0",10/06/01
933,"0",08/05/07
934,"3",15/10/11
935,"3",09/09/07
936,"1",06/12/14
937,"0",15/08/09
938,"3",09/11/27
939,"3",14/02/12
940,"1",08/06/08
941,"2",12/03/07
942,"3",06/09/25
943,"0",08/12/16
944,"2",09/04/18
945,"3",09/03/16
946,"3",11/09/22
947,"1",13/02/26
948,"1",11/06/24
949,"2",13/03/01
950,"0",12/01/12
951,"2",06/02/07
952,"0",14/05/14
953,"1",06/08/18
954,"1",14/11/16
955,"3",13/10/06
956,"3",13/02/19
957,"3",10/11/06
958,"0",07/10/04
959,"0",07/01/13
960,"0",11/02/11
961,"0",12/09/05
962,"2",10/05/08
963,"1",08/10/20
964,"3",08/04/12
965,"3",07/09/11
966,"3",11/05/12
967,"2",12/11/25
968,"0",08/09/02
969,"3",15/05/09
970,"1",09/10/18
971,"0",13/02/25
972,"0",10/01/15
973,"0",13/12/05
974,"1",10/05/09
975,"3",08/06/04
976,"3",14/02/05
977,"1",13/07/20
978,"3",06/02/05
979,"1",07/10/25
980,"3",10/07/07
981,"3",09/12/12
982,"3",13/11/21
983,"0",09/04/01
984,"2",15/02/14
985,"1",15/09/10
986,"1",07/03/20
987,"0",15/10/25
988,"0",12/10/27
989,"2",06/12/27
990,"2",06/02/22
991,"0",10/04/09
992,"1",13/08/21
993,"3",15/02/03
994,"3",15/10/27
995,"2",06/10/26
996,"3",10/01/18
997,"2",13/02/05
998,"3",14/03/26
999,"3",06/01/21
1000,"2",08/09/26
1001,"1",10/10/06
1002,"1",15/06/02
1003,"3",07/02/01
1004,"0",08/05/07
1005,"3",14/09/27
1006,"1",10/02/06
1007,"3",08/05/15
1008,"3",14/05/04
1009,"1",09/04/20
1010,"1",09/04/07
1011,"3",07/10/03
1012,"2",07/09/01
1013,"1",10/09/25
1014,"2",11/10/10
1015,"2",07/07/26
1016,"2",08/03/08
1017,"1",09/02/18
1018,"2",15/07/25
1019,"2",08/11/06
1020,"3",09/10/21
1021,"1",11/10/11
1022,"1",06/03/01
1023,"1",07/07/10
1024,"2",14/07/26
1025,"2",13/11/10
1026,"1",10/12/22
1027,"3",11/11/08
1028,"1",08/11/13
1029,"0",07/04/19
1030,"3",09/10/25
1031,"0",15/08/26
1032,"2",06/06/04
1033,"0",07/03/26
1034,"1",14/02/20
1035,"0",15/11/02
1036,"1",06/05/14
1037,"1",12/11/02
1038,"1",09/03/10
1039,"1",11/08/01
1040,"1",10/04/12
1041,"1",06/10/11
1042,"2",11/11/03
1043,"2",14/12/08
1044,"2",11/04/16
1045,"0",10/10/25
1046,"1",08/05/26
1047,"1",11/02/23
1048,"3",06/04/02
1049,"2",09/12/24
1050,"3",09/11/21
1051,"3",09/12/24
1052,"1",10/06/24
1053,"0",06/12/17
1054,"0",09/01/02
1055,"3",10/10/23
1056,"3",15/11/12
1057,"3",15/09/12
1058,"2",08/11/20
1059,"1",13/12/17
1060,"1",08/06/08
1061,"2",10/10/13
1062,"3",10/02/16
1063,"1",13/12/01
1064,"1",09/08/08
1065,"3",13/01/12
1066,"2",09/06/23
1067,"3",15/09/07
1068,"0",15/02/12
1069,"0",11/01/05
1070,"0",06/01/03
1071,"0",12/04/13
1072,"0",11/04/01
1073,"2",11/12/23
1074,"3",14/05/18
1075,"2",06/01/20
1076,"0",08/06/27
1077,"3",14/05/13
1078,"3",10/01/04
1079,"0",08/06/01
1080,"3",06/06/05
1081,"0",12/02/07
1082,"0",08/08/24
1083,"2",15/10/08
1084,"1",12/03/25
1085,"1",15/06/18
1086,"1",06/11/17
1087,"1",12/10/10
1088,"1",13/11/10
1089,"0",15/04/14
1090,"3",12/06/02
1091,"3",13/06/12
1092,"0",07/05/26
1093,"0",09/04/02
1094,"2",12/02/18
1095,"2",13/04/26
1096,"1",11/02/15
1097,"2",07/12/16
1098,"1",15/12/07
1099,"1",06/03/11
1100,"1",12/11/25
1101,"3",12/03/23
1102,"1",12/07/23
1103,"3",08/12/05
1104,"2",12/08/27
1105,"2",07/03/09
1106,"3",10/09/11
1107,"0",09/08/06
1108,"1",06/02/27
1109,"2",14/11/15
1110,"2",06/05/14
1111,"3",08/10/24
1112,"0",07/08/10
1113,"3",13/01/09
1114,"0",13/05/12
1115,"1",11/12/03
1116,"3",15/01/08
1117,"0",14/09/27
1118,"0",09/01/09
1119,"1",15/06/16
1120,"2",14/03/25
1121,"2",10/11/23
1122,"0",15/06/19
1123,"0",15/05/07
1124,"0",07/05/27
1125,"2",07/11/18
1126,"2",11/11/24
1127,"0",12/12/21
1128,"2",15/09/04
1129,"2",15/11/16
1130,"0",06/01/04
1131,"0",12/02/25
1132,"3",14/09/21
1133,"2",11/02/17
1134,"1",08/06/26
1135,"0",08/01/23
1136,"1",09/05/23
1137,"3",07/02/11
1138,"2",08/05/16
1139,"2",10/06/02
1140,"0",06/06/27
1141,"3",13/03/13
1142,"1",06/06/25
1143,"1",10/03/09
1144,"1",06/07/15
1145,"0",09/01/01
1146,"2",10/03/09
1147,"3",10/11/25
1148,"2",12/03/04
1149,"0",10/12/25
1150,"2",06/04/15
1151,"1",15/11/04
1152,"1",07/08/14
1153,"3",11/10/04
1154,"2",08/06/21
1155,"3",11/04/09
1156,"3",08/05/12
1157,"2",07/03/19
1158,"3",10/12/26
1159,"1",11/06/02
1160,"3",07/08/13
1161,"2",06/02/06
1162,"3",09/04/12
1163,"3",13/01/17
1164,"2",08/11/03
1165,"0",13/10/13
1166,"0",11/01/01
1167,"3",15/10/26
1168,"3",09/06/11
1169,"0",06/10/27
1170,"2",14/01/15
1171,"1",12/02/27
1172,"2",10/02/05
1173,"3",11/02/13
1174,"1",06/08/06
1175,"2",10/04/14
1176,"2",06/07/05
1177,"1",07/12/07
1178,"2",11/02/05
1179,"1",11/02/03
1180,"1",10/05/17
1181,"0",11/04/27
1182,"3",12/08/14
1183,"1",09/01/05
1184,"3",10/06/04
1185,"0",13/10/07
1186,"1",06/02/24
1187,"0",08/11/25
1188,"2",09/05/08
1189,"0",12/03/02
1190,"0",10/06/15
1191,"1",15/03/17
1192,"3",08/04/18
1193,"2",12/10/24
1194,"2",06/02/23
1195,"1",08/12/05
1196,"3",09/02/01
1197,"2",11/10/18
1198,"1",10/05/12
1199,"0",08/08/22
1200,"3",14/12/05
1201,"0",07/02/03
1202,"0",11/10/03
1203,"1",12/05/16
1204,"0",12/03/08
1205,"1",09/11/01
1206,"0",15/06/19
1207,"2",07/06/20
1208,"2",12/03/05
1209,"2",14/09/19
1210,"0",09/09/19
1211,"1",13/10/13
1212,"2",06/08/02
1213,"1",11/08/26
1214,"3",07/12/12
1215,"1",15/11/01
1216,"3",08/04/05
1217,"3",10/02/22
1218,"0",06/03/13
1219,"0",13/11/16
1220,"0",15/06/22
